lat,lon,yaw,year,month
40.0128881433,-75.1691157997,336.905,2014,05
40.0579577197,-75.0806464023,36.134,2014,05
40.0311690073,-75.1506616264,292.11,2014,05
40.012169408,-75.1372712692,279.114,2014,06
39.9465307719,-75.1729019218,98.688,2014,05
40.0152510726,-75.0925148171,74.093,2014,05
40.0841152461,-75.0256450228,216.483,2014,07
39.9382008988,-75.1870009999,10.714,2014,05
40.042536085,-75.100052756,306.418,2014,05
40.0037375638,-75.1533888675,279.12,2014,05
39.9328340743,-75.1919404224,10.381,2014,05
40.0249017727,-75.1290275867,254.674,2014,05
39.936214063,-75.145124764,8.757,2014,05
39.97866707,-75.172498775,280.79,2014,06
39.986314073,-75.131908763,336.331,2014,05
39.894032546,-75.177564195,4.851,2014,06
40.0652122127,-75.0418414986,198.661,2014,07
39.946806064,-75.158165769,189.153,2014,05
39.9718782323,-75.1793051218,189.773,2014,05
40.0238695876,-75.035293221,115.344,2014,05
40.0270764579,-75.0590935016,55.262,2014,05
40.0445887856,-75.1550656531,175.83,2014,05
39.9482861358,-75.1645674442,186.981,2014,06
39.9837803315,-75.1810639859,230.053,2014,06
39.9895208794,-75.156698704,283.964,2014,06
39.9302387645,-75.1613832606,190.399,2014,05
40.0162194817,-75.0556485642,146.115,2014,05
40.0260259557,-75.0613841349,326.387,2014,05
40.0443056411,-74.9973914319,230.898,2014,06
39.9710405293,-75.1278671658,63.707,2014,06
39.962554355,-75.2398752661,187.207,2014,05
39.989152043,-75.1445712409,188.817,2014,06
39.9877324884,-75.1425017984,10.721,2014,05
39.9883160804,-75.1282556911,235.085,2014,05
39.9727904659,-75.1936291675,346.116,2014,06
40.0373727572,-75.1966742529,57.676,2014,05
39.984601074,-75.108691756,320.423,2014,05
40.0145017303,-75.0874860822,305.951,2014,06
39.9723578745,-75.138953718,190.514,2014,05
39.9470595543,-75.1544721333,188.736,2014,05
39.9568365126,-75.1414511595,61.998,2014,06
39.9546370719,-75.1592896435,188.787,2014,05
39.891504053,-75.179025772,176.44,2014,05
40.0372216506,-75.0432025395,47.633,2014,05
40.053529883,-75.065157183,304.94,2014,05
39.9801841075,-75.1694443667,279.111,2014,06
40.0867733149,-75.2250712405,73.696,2014,07
40.0148694905,-75.0726064413,344.23,2014,05
40.0509188697,-75.0360941703,345.747,2014,05
40.0650652999,-75.2034799724,300.67,2014,07
40.0314685319,-75.0790678335,36.629,2014,05
40.0872846988,-74.9702776788,322.332,2014,07
40.064297087,-75.173726781,125.134,2014,07
40.020983083,-75.039480736,238.093,2014,05
40.0539233952,-75.000640326,318.595,2014,05
39.9077002129,-75.236630297,126.57,2014,05
